name,batch_input_shape,filters,kernel_size,activation,padding,strides,pool_size,units,dtype,trainable,use_bias,axis,scale,moving_mean_initializer,bias_regularizer,moving_variance_initializer,gamma_constraint,bias_initializer,beta_regularizer,activity_regularizer,momentum,gamma_initializer,kernel_initializer,kernel_constraint,epsilon,beta_initializer,beta_constraint,center,bias_constraint,data_format,dilation_rate,kernel_regularizer,sparse,gamma_regularizer
activation_45,"(?, 7, 7, 512)",,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res5b_branch2c,"(?, 7, 7, 2048)",2048,"(1, 1)",linear,valid,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,channels_last,"(1, 1)",,,
bn5b_branch2c,"(?, 7, 7, 2048)",,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
add_15,"(?, 7, 7, 2048)",,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
activation_46,"(?, 7, 7, 2048)",,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res5c_branch2a,"(?, 7, 7, 512)",512,"(1, 1)",linear,valid,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,channels_last,"(1, 1)",,,
bn5c_branch2a,"(?, 7, 7, 512)",,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
activation_47,"(?, 7, 7, 512)",,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res5c_branch2b,"(?, 7, 7, 512)",512,"(3, 3)",linear,same,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,channels_last,"(1, 1)",,,
bn5c_branch2b,"(?, 7, 7, 512)",,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
activation_48,"(?, 7, 7, 512)",,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res5c_branch2c,"(?, 7, 7, 2048)",2048,"(1, 1)",linear,valid,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,channels_last,"(1, 1)",,,
bn5c_branch2c,"(?, 7, 7, 2048)",,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
add_16,"(?, 7, 7, 2048)",,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
activation_49,"(?, 7, 7, 2048)",,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
avg_pool,"(?, 1, 1, 2048)",,,,valid,"(7, 7)","(7, 7)",,,True,,,,,,,,,,,,,,,,,,,,channels_last,,,,
flatten_1,"(?, ?)",,,,,,,,,True,,,,,,,,,,,,,,,,,,,,channels_last,,,,
fc1000,"(?, 1000)",,,softmax,,,,1000,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,,,,
