name,layer_type,batch_input_shape,filters,kernel_size,activation,padding,strides,pool_size,units,dtype,trainable,use_bias,bias_regularizer,bias_initializer,kernel_initializer,kernel_constraint,activity_regularizer,bias_constraint,data_format,dilation_rate,kernel_regularizer,sparse
block4_conv2,Conv2D,"(?, 28, 28, 512)",512,"(3, 3)",relu,same,"(1, 1)",,,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_last,"(1, 1)",,
block4_conv3,Conv2D,"(?, 28, 28, 512)",512,"(3, 3)",relu,same,"(1, 1)",,,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_last,"(1, 1)",,
block4_pool,MaxPooling2D,"(?, 14, 14, 512)",,,,valid,"(2, 2)","(2, 2)",,,True,,,,,,,,channels_last,,,
block5_conv1,Conv2D,"(?, 14, 14, 512)",512,"(3, 3)",relu,same,"(1, 1)",,,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_last,"(1, 1)",,
block5_conv2,Conv2D,"(?, 14, 14, 512)",512,"(3, 3)",relu,same,"(1, 1)",,,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_last,"(1, 1)",,
block5_conv3,Conv2D,"(?, 14, 14, 512)",512,"(3, 3)",relu,same,"(1, 1)",,,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_last,"(1, 1)",,
block5_pool,MaxPooling2D,"(?, 7, 7, 512)",,,,valid,"(2, 2)","(2, 2)",,,True,,,,,,,,channels_last,,,
flatten,Flatten,"(?, ?)",,,,,,,,,True,,,,,,,,channels_last,,,
fc1,Dense,"(?, 4096)",,,relu,,,,4096,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,
fc2,Dense,"(?, 4096)",,,relu,,,,4096,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,
predictions,Dense,"(?, 1000)",,,softmax,,,,1000,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,
